split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,oracle_lambda
test_v3,test_v3_018,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.007831761587771203,4066,132,132,519168,1e-06,dynamic,0.0
test_v3,test_v3_018,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.007781681459566075,4040,131,131,519168,1e-06,dynamic,0.0
test_v3,test_v3_019,target_off,J0_Current,measured,0.012645232371794872,6565,16,16,519168,1e-06,dynamic,
test_v3,test_v3_019,target_on,J0_Current,measured,0.012679903229783037,6583,17,17,519168,1e-06,dynamic,
test_v3,test_v3_019,target_off,J5_Selective_Physics_Calibration,measured,0.012645232371794872,6565,16,16,519168,1e-06,dynamic,
test_v3,test_v3_019,target_on,J5_Selective_Physics_Calibration,measured,0.012679903229783037,6583,17,17,519168,1e-06,dynamic,
test_v3,test_v3_019,target_off,J6_Joint_Phase_Surface,measured,0.012645232371794872,6565,16,16,519168,1e-06,dynamic,
test_v3,test_v3_019,target_on,J6_Joint_Phase_Surface,measured,0.012679903229783037,6583,17,17,519168,1e-06,dynamic,
test_v3,test_v3_019,target_off,J7_Deterministic_Safe_Expert_Selector,measured,0.012645232371794872,6565,16,16,519168,1e-06,dynamic,
test_v3,test_v3_019,target_on,J7_Deterministic_Safe_Expert_Selector,measured,0.012679903229783037,6583,17,17,519168,1e-06,dynamic,
test_v3,test_v3_019,target_off,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.012645232371794872,6565,16,16,519168,1e-06,dynamic,0.0
test_v3,test_v3_019,target_on,Oracle_Safe_Lambda_0_EvaluationOnly,measured,0.012679903229783037,6583,17,17,519168,1e-06,dynamic,0.0
test_v3,test_v3_020,target_off,J0_Current,measured,0.004545734714003945,2360,40,40,519168,1e-06,dynamic,
test_v3,test_v3_020,target_on,J0_Current,measured,0.005468364768244576,2839,41,41,519168,1e-06,dynamic,
test_v3,test_v3_020,target_off,J5_Selective_Physics_Calibration,measured,0.004809618466469428,2497,50,50,519168,1e-06,dynamic,
